student_id,answer_count,correct_rate,last_7_days_answer_count,total_study_time,avg_study_time,completed_task_count,completion_rate,task_type_count,morning_study_ratio,evening_study_ratio,video_audio_ratio,text_ratio,discuss_ratio,cluster
1833418200936308736,47,0.702,47,761.62,8.28,43,0.47,2,1.0,0.0,0.5,0.5,0,0
1830604685129306112,72,0.167,72,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830412337057943552,17,0.412,17,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1834437257740865536,15,0.0,15,403.1,16.12,20,0.8,2,0.435,0.565,0.526,0.474,0,4
1831480754499825664,86,0.151,86,203.32,16.94,8,0.67,2,1.0,0.0,0.533,0.467,0,0
1831141252207964160,50,0.0,50,24.42,4.88,2,0.4,2,0.0,1.0,0.5,0.5,0,1
1833755436020056064,39,0.795,39,24.42,3.05,2,0.25,2,1.0,0.0,0.667,0.333,0,0
1831154453861511168,37,0.568,37,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1831593134423564288,38,0.553,38,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1831154415693508608,41,0.561,41,317.98,15.9,16,0.8,2,1.0,0.0,0.552,0.448,0,0
1831142292729630720,42,0.714,42,1.0,0.33,1,0.33,2,1.0,0.0,0.5,0.5,0,0
1831187466998927360,36,0.583,36,92.05,11.51,4,0.5,2,0.0,1.0,0.571,0.429,0,0
1833756006842187776,38,0.842,38,1.0,0.08,1,0.08,2,1.0,0.0,0.5,0.5,0,0
1831188743280590848,38,0.711,38,116.47,11.65,6,0.6,2,0.0,1.0,0.545,0.455,0,0
1831198821421240320,39,0.615,39,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1831154478683078656,79,0.696,79,115.47,14.43,5,0.62,2,1.0,0.0,0.556,0.444,0,0
1831622514513039360,50,0.0,50,63.53,10.59,3,0.5,2,0.384,0.616,0.5,0.5,0,1
1838831158287421440,45,0.467,45,144.82,14.48,6,0.6,2,1.0,0.0,0.667,0.333,0,0
1831157595961774080,46,0.522,46,1.0,0.17,1,0.17,2,0.0,1.0,0.5,0.5,0,0
1835125857285259264,11,0.727,11,387.05,11.06,18,0.51,2,0.995,0.005,0.545,0.455,0,0
1830811920444166144,13,0.923,13,161.88,16.19,6,0.6,2,1.0,0.0,0.857,0.143,0,0
1830468126066630656,14,0.857,14,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1831141254659645440,45,0.311,45,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830828787686363136,15,0.667,15,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830964157704261632,12,0.833,12,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1833418174470598656,43,0.628,43,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1831663439799336960,80,0.762,80,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1833417433195913216,84,0.81,84,411.93,8.58,23,0.48,2,0.0,1.0,0.5,0.5,0,0
1833755433860251648,48,0.542,48,0.2,0.03,0,0.0,0,1.0,0.0,0.0,0.0,0,0
1831155451204292608,42,0.548,42,94.67,5.26,5,0.28,2,0.011,0.989,0.5,0.5,0,0
1831142682559864832,31,0.548,31,144.82,16.09,6,0.67,2,1.0,0.0,0.667,0.333,0,0
1831629195451887616,80,0.875,80,117.47,7.83,6,0.4,3,1.0,0.0,0.5,0.5,0,0
1830605918083035136,26,0.077,26,47.83,6.83,3,0.43,2,1.0,0.0,0.5,0.5,0,0
1830441231805722624,43,0.837,43,24.42,3.05,2,0.25,2,1.0,0.0,0.5,0.5,0,0
1831153376643547136,49,0.327,49,23.42,3.9,1,0.17,2,1.0,0.0,0.5,0.5,0,0
1831229771517534208,19,0.0,19,3.0,0.25,3,0.25,2,1.0,0.0,0.4,0.6,0,6
1834784604374372352,16,0.625,16,200.17,14.3,10,0.71,2,0.95,0.05,0.556,0.444,0,0
1833416681736130560,42,0.548,42,761.17,16.2,42,0.89,3,1.0,0.0,0.506,0.494,0,0
1831589573523329024,45,0.778,45,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830868692700647424,43,0.651,43,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1834492369429995520,17,0.588,17,403.1,16.12,20,0.8,2,0.479,0.521,0.526,0.474,0,0
1834514325491974144,42,0.643,42,24.42,8.14,2,0.67,1,1.0,0.0,1.0,0.0,0,0
1834935413686984704,7,0.714,7,403.1,18.32,20,0.91,2,0.777,0.223,0.526,0.474,0,0
1830417583097683968,19,0.0,19,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2
1830970872014614528,35,0.314,35,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830864082374107136,53,0.792,53,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830841563288219648,8,1.0,8,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1831230219417292800,11,0.909,11,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830413763166515200,15,0.733,15,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1830414943453204480,12,1.0,12,23.42,5.85,1,0.25,1,1.0,0.0,1.0,0.0,0,0
1833757710926749696,38,0.737,38,24.42,4.88,2,0.4,2,0.041,0.959,0.5,0.5,0,0
1833755867784998912,37,0.811,37,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1833757627547930624,45,0.711,45,1.0,0.33,1,0.33,2,1.0,0.0,0.5,0.5,0,0
1833755713383903232,37,0.919,37,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
1838825180762685440,56,0.661,56,168.23,18.69,6,0.67,2,0.314,0.686,0.667,0.333,0,0
1833416160081420288,76,0.789,76,409.33,21.54,16,0.84,2,1.0,0.0,0.5,0.5,0,0
